HumanOS backend listening on http://127.0.0.1:8787
External access uses http://<server-ip>:8787
SQLite database: D:\TUe\OneDrive - TU Eindhoven\Humanos\humanos-syy7\backend\data\humanos.db
[06/Aug/2026 18:02:55] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:02:55] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:02:55] "OPTIONS /api/auth/register HTTP/1.1" 204 -
[06/Aug/2026 18:02:55] "POST /api/auth/register HTTP/1.1" 201 -
[06/Aug/2026 18:02:55] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:02:55] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:02:55] "OPTIONS /api/profile?user_id=user_74dabdef939a HTTP/1.1" 204 -
[06/Aug/2026 18:02:55] "GET /api/profile?user_id=user_74dabdef939a HTTP/1.1" 200 -
[06/Aug/2026 18:02:55] "OPTIONS /api/tasks?user_id=user_74dabdef939a HTTP/1.1" 204 -
[06/Aug/2026 18:02:55] "GET /api/tasks?user_id=user_74dabdef939a HTTP/1.1" 200 -
[06/Aug/2026 18:02:55] "OPTIONS /api/plans/active?user_id=user_74dabdef939a&week_id=2026-08-03 HTTP/1.1" 204 -
[06/Aug/2026 18:02:55] "GET /api/plans/active?user_id=user_74dabdef939a&week_id=2026-08-03 HTTP/1.1" 200 -
[06/Aug/2026 18:02:55] "OPTIONS /api/weeks/status?user_id=user_74dabdef939a&week_id=2026-08-03 HTTP/1.1" 204 -
[06/Aug/2026 18:02:55] "GET /api/weeks/status?user_id=user_74dabdef939a&week_id=2026-08-03 HTTP/1.1" 200 -
[06/Aug/2026 18:02:55] "OPTIONS /api/chat/turns?user_id=user_74dabdef939a&limit=20 HTTP/1.1" 204 -
[06/Aug/2026 18:02:55] "GET /api/chat/turns?user_id=user_74dabdef939a&limit=20 HTTP/1.1" 200 -
[06/Aug/2026 18:02:57] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:02:57] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:02:57] "OPTIONS /api/weekly-setup/reconcile HTTP/1.1" 204 -
[06/Aug/2026 18:02:57] "POST /api/weekly-setup/reconcile HTTP/1.1" 200 -
[06/Aug/2026 18:02:57] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:02:57] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:02:57] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:04:13] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:04:13] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:04:13] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:07:58] "GET /api/profile?user_id=user_74dabdef939a HTTP/1.1" 200 -
[06/Aug/2026 18:07:58] "GET /api/tasks?user_id=user_74dabdef939a HTTP/1.1" 200 -
[06/Aug/2026 18:09:41] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:09:41] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:09:41] "OPTIONS /api/auth/register HTTP/1.1" 204 -
[06/Aug/2026 18:09:41] "POST /api/auth/register HTTP/1.1" 201 -
[06/Aug/2026 18:09:41] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:09:41] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:09:41] "OPTIONS /api/profile?user_id=user_3ef5035a78ea HTTP/1.1" 204 -
[06/Aug/2026 18:09:42] "GET /api/profile?user_id=user_3ef5035a78ea HTTP/1.1" 200 -
[06/Aug/2026 18:09:42] "OPTIONS /api/tasks?user_id=user_3ef5035a78ea HTTP/1.1" 204 -
[06/Aug/2026 18:09:42] "GET /api/tasks?user_id=user_3ef5035a78ea HTTP/1.1" 200 -
[06/Aug/2026 18:09:42] "OPTIONS /api/plans/active?user_id=user_3ef5035a78ea&week_id=2026-08-03 HTTP/1.1" 204 -
[06/Aug/2026 18:09:42] "GET /api/plans/active?user_id=user_3ef5035a78ea&week_id=2026-08-03 HTTP/1.1" 200 -
[06/Aug/2026 18:09:42] "OPTIONS /api/weeks/status?user_id=user_3ef5035a78ea&week_id=2026-08-03 HTTP/1.1" 204 -
[06/Aug/2026 18:09:42] "GET /api/weeks/status?user_id=user_3ef5035a78ea&week_id=2026-08-03 HTTP/1.1" 200 -
[06/Aug/2026 18:09:42] "OPTIONS /api/chat/turns?user_id=user_3ef5035a78ea&limit=20 HTTP/1.1" 204 -
[06/Aug/2026 18:09:42] "GET /api/chat/turns?user_id=user_3ef5035a78ea&limit=20 HTTP/1.1" 200 -
[06/Aug/2026 18:09:44] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:09:44] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:09:44] "OPTIONS /api/weekly-setup/reconcile HTTP/1.1" 204 -
[06/Aug/2026 18:09:44] "POST /api/weekly-setup/reconcile HTTP/1.1" 200 -
[06/Aug/2026 18:09:44] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:09:44] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:09:44] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:11:11] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:11:11] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:11:11] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:11:12] "OPTIONS /api/schedules/validate HTTP/1.1" 204 -
[06/Aug/2026 18:11:12] "POST /api/schedules/validate HTTP/1.1" 200 -
[06/Aug/2026 18:11:12] "OPTIONS /api/schedules/confirm HTTP/1.1" 204 -
[06/Aug/2026 18:11:12] "POST /api/schedules/confirm HTTP/1.1" 200 -
[06/Aug/2026 18:11:12] "OPTIONS /api/state-transitions HTTP/1.1" 204 -
[06/Aug/2026 18:11:12] "POST /api/state-transitions HTTP/1.1" 201 -
[06/Aug/2026 18:11:12] "OPTIONS /api/chat/turn HTTP/1.1" 204 -
[06/Aug/2026 18:11:15] "POST /api/chat/turn HTTP/1.1" 201 -
[06/Aug/2026 18:11:15] "OPTIONS /api/tasks/task_574c41e15dc8 HTTP/1.1" 204 -
[06/Aug/2026 18:11:15] "PATCH /api/tasks/task_574c41e15dc8 HTTP/1.1" 200 -
[06/Aug/2026 18:11:15] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:11:15] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:11:15] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
DeepSeek unavailable: URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>
[06/Aug/2026 18:11:58] "POST /api/schedules/decide HTTP/1.1" 200 -
